mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM163	81615	9.9893473618615e-07	-0.247837250899659	0.0186221413519822	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM177	80775	9.1562541992829e-09	0.289370127063944	0.000178812488257796	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM201	199953	1.20744139131546e-08	0.287104385494447	0.000235306178339556	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM204	79652	2.46334291275952e-08	-0.281170311582184	0.000476927821339371	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM216	51259	1.89884700407816e-07	0.263350983086695	0.00360875873125055	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM220	388335	6.55540881194537e-08	-0.272790092843218	0.00125955624912718	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM223	79064	8.93982992078435e-08	0.270074009036852	0.00171224562472783	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM2	23670	2.37487081470581e-07	-0.261318362605904	0.00450346752592663	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM47	83604	2.79845404766936e-09	-0.29885888082026	5.50707772040854e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM63A	9725	3.65564964375796e-07	-0.257350096698721	0.00689747974784252	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM63B	55362	3.05666046338684e-06	-0.23677793670165	0.0560194163124907	YES
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM68	137695	1.44631650789151e-06	0.244235856056196	0.0268176006893244	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM69	51249	1.85820869802455e-09	0.302057749160017	3.66605994033264e-05	NA
hsa.mir.19a	hsa.mir.19a_vs_hsa.mir.92a.1	TMEM88	92162	1.49497321607353e-06	-0.243911133948305	0.0277063386134907	NA
