mir	ratio	symbol	entrezid	pvalue	cor	fdr	is_target
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf41	153222	1.05732765587648e-12	-0.409431945294661	2.03852772052985e-08	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf4	10826	2.04008226207712e-07	-0.304982500267189	0.00368887674628785	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C5orf53	492311	4.89761038738077e-07	-0.295720353330522	0.00877749733626382	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf105	84830	9.3423549804799e-31	-0.617798893021713	1.86137080631082e-26	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf125	84300	2.19268323276012e-07	0.304231636448749	0.00396195933327426	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf129	154467	6.77266853044145e-07	0.292208166737532	0.0120776997903362	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf153	88745	1.69926400506171e-07	0.30687584861066	0.00307855659797029	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf155	79940	2.3778326940236e-06	-0.27813460458034	0.0416501174685173	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf167	253714	2.13336592835844e-09	0.34870299053307	3.99408769107268e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf186	728464	8.97218558431874e-10	-0.356288358832197	1.68784755212204e-05	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf72	116254	3.9370264610768e-11	-0.382121396291959	7.51145278508844e-07	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C6orf89	221477	3.59062610289198e-07	-0.29904049878312	0.00645774104605122	NA
hsa.mir.17	hsa.mir.17_vs_hsa.mir.92a.1	C7orf10	79783	3.6329453970008e-34	-0.644654810649368	7.2502691287945e-30	NA
