"V1" "exp-pA<15" "polyA-pA<15" "UU-pA<15" "U-pA<15" "U>3-pA<15" "polyA-NoU-pA<15" "exp-pA<25" "polyA-pA<25" "UU-pA<25" "U-pA<25" "U>3-pA<25" "polyA-NoU-pA<25" "exp" "polyA-pA>25" "UU-pA>25" "U-pA>25" "polyA-NoU-pA>25" "symbol"
"ENSG00000140374" 241 3 0 2 0 0 241 7 2 0 0 0 241 22 0 0 0 "ETFA"
"ENSG00000140391" 337 9 0 0 0 0 337 3 0 0 0 0 337 38 0 0 2 "TSPAN3"
"ENSG00000140575" 835 13 0 0 0 0 835 5 0 0 0 0 835 29 0 0 0 "IQGAP1"
"ENSG00000140990" 119 5 0 0 0 0 119 6 0 0 0 0 119 25 0 0 0 "NDUFB10"
"ENSG00000141030" 322 9 0 0 0 0 322 7 3 2 0 0 322 18 0 0 0 "COPS3"
"ENSG00000141367" 1298 33 2 6 2 0 1298 19 3 4 0 0 1298 38 0 0 0 "CLTC"
"ENSG00000141429" 699 12 3 2 0 0 699 8 0 0 0 0 699 14 0 0 0 "GALNT1"
"ENSG00000142168" 322 5 0 0 0 0 322 8 0 0 0 0 322 53 2 0 2 "SOD1"
"ENSG00000142534" 574 29 2 0 0 0 574 12 0 0 0 0 574 69 0 0 2 "RPS11"
"ENSG00000142541" 446 10 0 0 0 0 446 14 0 0 0 0 446 35 0 0 0 "RPL13A"
"ENSG00000142676" 502 12 0 0 0 0 502 5 2 0 0 0 502 38 0 0 0 "RPL11"
"ENSG00000142864" 697 11 0 0 0 0 697 10 0 2 0 0 697 23 0 0 2 "SERBP1"
"ENSG00000142937" 505 15 0 0 0 0 505 6 0 0 0 0 505 23 0 0 0 "RPS8"
"ENSG00000143013" 174 10 0 4 0 0 174 6 0 2 0 0 174 17 0 0 0 "LMO4"
"ENSG00000143106" 318 6 2 0 0 0 318 2 0 0 0 0 318 34 0 0 0 "PSMA5"
"ENSG00000143321" 488 14 0 0 0 0 488 9 0 3 0 0 488 29 4 0 0 "HDGF"
"ENSG00000143612" 334 9 0 0 0 0 334 8 0 3 0 0 334 29 0 0 0 "C1orf43"
"ENSG00000143761" 335 11 2 3 0 0 335 16 0 2 0 0 335 31 0 0 0 "ARF1"
